,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,[0. 0. 0. 0.],[[1.]],robust,1000,0.005,14,0.002566710416397524,2.635629168574044e-06,"[[2.3311138299999996, 0.003439447999999956], [2.2087035639999995, 0.002980249000000157], [2.2029588650000003, 0.003165725999999758], [2.1853085739999996, 0.002647925999999856], [2.2749636780000007, 0.0031156960000000566], [2.212905912, 0.003063981000000382], [2.2533091940000016, 0.0030017549999996618], [2.228306137999997, 0.0029148850000026982], [2.288174024, 0.0027590619999990906], [2.3224108369999996, 0.0029714470000001825], [2.2311154119999976, 0.0031737390000010635], [2.290369306999999, 0.0033081039999984796], [2.354189957999999, 0.0029154699999978106], [2.2887643080000046, 0.0026759900000001835]]"
0,[0. 0. 0. 0.],[[1.]],CS,1000,0.005,12,0.002717551015647435,2.95451344370595e-06,"[[14.609912764999997, 0.00017008399999696167], [14.63716772, 0.00011411399999872174], [14.664967513999997, 0.00019363599999167036], [14.758493107999996, 0.0001138909999980342], [14.717336724999996, 0.00011601100000291353], [14.63268751599999, 0.00011211100000707575], [14.71959390299999, 0.00012811999999939871], [14.759728797999998, 0.00012525799999707488], [14.34427554200002, 0.00011697900001195194], [14.724234811000002, 0.00011763800000608171], [14.830115099000011, 0.00011050200001250232], [14.602145328000006, 0.00012427599997977268]]"
0,[0. 0. 0. 0.],[[1.]],B,1000,0.005,8,0.003367161435752589,4.535847415692735e-06,"[[14.666795830000012, 0.0002234520000001794], [14.596111297999983, 0.0002154310000150872], [14.744314160000016, 0.0002128319999883388], [14.72121550700001, 0.00022480600000562845], [14.932677841999975, 0.0004488139999807572], [14.71909961700004, 0.00021302999999761596], [15.039367676999973, 0.0002319940000461429], [14.890819937999993, 0.0002221559999497913]]"
