,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,[3.14159265 3.14159265 0.         0.        ],[[1.]],robust,1000,2e-05,15,9.753499582310594e-06,1.833002179309876e-11,"[[2.293934513, 0.00320898699999983], [2.1934621470000004, 0.0029605340000005143], [2.177547669, 0.0028016310000005262], [2.2351852670000003, 0.0033592730000009396], [2.185315107000001, 0.002923250000000266], [2.1111259370000006, 0.0028589939999985603], [2.1970125200000012, 0.0027523060000014254], [2.192436174000001, 0.003069132000000252], [2.154597499000001, 0.002804091000001563], [2.2460928990000006, 0.002819729999998799], [2.135173615000003, 0.002905087999998557], [2.1361568869999985, 0.0026970539999986443], [2.1757001979999977, 0.002865586999998726], [2.167195932000002, 0.0026077770000014766], [2.1730600770000024, 0.0029671720000052915]]"
0,[3.14159265 3.14159265 0.         0.        ],[[1.]],CS,1000,0.0002,17,8.65599909128898e-05,1.4436983038333725e-09,"[[14.247407240999998, 0.000156090000004383], [14.291442578999998, 0.00011368799999900148], [14.129225286, 0.00011144100000137769], [14.342073912000004, 0.00011160299999346535], [14.370114276999999, 0.0001143279999951119], [14.779704976999994, 0.00014252599999053928], [14.870695826000002, 0.0001402099999836537], [14.843841351999998, 0.00011640600001783241], [14.82750515699999, 0.00011394999998515232], [14.304766838999996, 0.0001274859999966793], [14.495544889000001, 0.00013069899998185974], [14.421629013, 0.00012646500002233552], [14.723369069, 0.00011340600002540668], [14.309625884000013, 0.00012159999999994398], [14.34610462500001, 0.0001306070000168802], [14.355511464000017, 0.00011618100000987397], [14.277166105999981, 0.0001165790000072775]]"
0,[3.14159265 3.14159265 0.         0.        ],[[1.]],B,1000,0.0002,16,9.059718140847269e-05,1.581508078869462e-09,"[[14.403782688000035, 0.00022029500001963243], [14.544046369, 0.00045279100004336215], [14.218297011999994, 0.00025778799999898183], [14.78048187799999, 0.0002378350000071805], [14.556088318000036, 0.00022041599999056416], [14.282182831, 0.0002340749999802938], [13.942554133999977, 0.00021250399998962166], [13.97073351299997, 0.0002163810000297417], [14.06196391200001, 0.0002189929999758533], [14.053919619999988, 0.0002238719999922978], [14.120821062000005, 0.00023833900002045993], [14.710641952999993, 0.00042994500000759217], [14.262636394999959, 0.00029127900000958107], [14.323869487000024, 0.00021357700001090052], [14.604387387999964, 0.0002212740000118174], [14.564424274000032, 0.00021384500001886408]]"
