,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,[0. 0.],[[1.]],robust,0,1.0,80,0.4520436502664754,0.4043201323171921,"[[0.00037583600000001827, 0.0019832689999998987], [0.0002540309999999879, 0.001609305999999977], [0.0002454969999999834, 0.0015522879999999573], [0.00024873599999997165, 0.001451916000000053], [0.00019848700000002495, 0.0016214989999999707], [0.00023741099999996518, 0.0013162580000000146], [0.000188000000000077, 0.0012558310000000406], [0.0001801029999999315, 0.0013209499999999874], [0.00017965300000000184, 0.0012585229999999559], [0.00018173600000004342, 0.001215184999999952], [0.0002628719999999696, 0.0012432770000000426], [0.00018221200000001492, 0.0013325229999999744], [0.00023550199999999855, 0.0016312520000000275], [0.00023076500000007716, 0.001570497000000004], [0.0002854880000000559, 0.0015481450000000008], [0.00021588699999997019, 0.0014202789999999688], [0.0002168809999999466, 0.0014212529999999557], [0.0002140720000000096, 0.0015207360000000225], [0.0002951479999999673, 0.0015180100000000696], [0.00020463900000000645, 0.001581370999999998], [0.00024532899999996083, 0.0015309030000000279], [0.00022682500000004158, 0.0015309079999999975], [0.0002203889999999875, 0.0015445579999999737], [0.00021160799999997426, 0.0014485599999999321], [0.00021605899999999068, 0.0012769820000000376], [0.00027296700000001284, 0.0015587219999999569], [0.0002650659999999805, 0.001694305000000007], [0.00023492999999996655, 0.0016967010000000782], [0.000350914000000091, 0.0016450409999999582], [0.000305378999999939, 0.0015105239999999576], [0.00022774300000005798, 0.0014544369999999196], [0.00026063599999992526, 0.0017475220000000569], [0.0003135090000000451, 0.0014129959999999997], [0.00023533499999994767, 0.0012856049999999675], [0.00022720700000000704, 0.0012488019999999933], [0.00018283799999996297, 0.0013139089999999465], [0.0001828600000000069, 0.0012592510000000168], [0.0001923759999999941, 0.0012513759999999152], [0.0001964429999999906, 0.001201871000000021], [0.00018327500000003827, 0.0012125910000000406], [0.00018786400000003756, 0.0015356359999999514], [0.00023943199999998388, 0.0012938690000000586], [0.00021648399999996126, 0.0013292870000000123], [0.00019737600000002686, 0.001265542000000064], [0.0001887040000000395, 0.0013058209999999848], [0.0001861310000000893, 0.001356814000000095], [0.00018540499999997184, 0.00128627300000006], [0.00018601699999998278, 0.001437526999999994], [0.00021449299999998228, 0.0011930289999999566], [0.00018462099999994042, 0.0012120350000000002], [0.00018299999999993322, 0.0012716640000000057], [0.00018634099999992326, 0.0013205910000000376], [0.00021554099999998577, 0.0013843959999999544], [0.00020408699999996394, 0.0013423540000000456], [0.00018530499999991346, 0.0013950200000000246], [0.0001845400000000108, 0.0013720750000000281], [0.00018161800000005002, 0.0013026280000000279], [0.00019582600000001005, 0.001385805999999934], [0.00018681499999995133, 0.00139028699999999], [0.00019025900000002594, 0.0013240020000000463], [0.00018341399999999286, 0.0013475840000000128], [0.00018248399999998277, 0.0012042949999999664], [0.00018284899999998494, 0.0012831930000000158], [0.00018206100000006664, 0.0013627730000000948], [0.00019112700000001315, 0.0012722840000000124], [0.00018692899999994683, 0.0012481850000000128], [0.0001854199999999917, 0.001406601999999979], [0.00018209499999999323, 0.001299857999999987], [0.00019141200000005743, 0.0012987549999999848], [0.0001831379999999161, 0.001212802999999929], [0.00019172499999997594, 0.0012959679999999807], [0.00018730399999999925, 0.0013210249999999757], [0.00018390200000006907, 0.0012142419999999765], [0.0001842619999999906, 0.001387207000000057], [0.00018371399999994598, 0.0011439249999999346], [0.0001930869999999807, 0.0012644029999999695], [0.00018941199999999991, 0.001307424000000057], [0.00019469799999993764, 0.0013821360000000338], [0.00018395699999995685, 0.001142301999999984], [0.000182131999999946, 0.0011319829999999476]]"
0,[0. 0.],[[1.]],CS,0,1.0,117,0.31155713236742183,0.2786651707393822,"[[9.290400000006027e-05, 6.643799999994648e-05], [6.541100000001521e-05, 5.0829999999946196e-05], [6.319300000001693e-05, 4.795199999996225e-05], [6.293299999993174e-05, 4.701299999998465e-05], [6.267900000000992e-05, 4.6274000000012805e-05], [6.24550000000168e-05, 4.574099999998804e-05], [6.174999999997155e-05, 4.539799999991878e-05], [6.155800000007261e-05, 4.499699999993556e-05], [6.143700000005303e-05, 4.543700000003703e-05], [6.161199999998868e-05, 4.4935999999995424e-05], [6.087300000001683e-05, 4.455600000008442e-05], [6.084500000003157e-05, 4.4621999999994166e-05], [6.100499999994735e-05, 4.441100000007747e-05], [6.147299999992306e-05, 4.43749999999854e-05], [6.099199999998195e-05, 4.3841999999960635e-05], [6.107999999993563e-05, 4.4311000000019085e-05], [6.296999999999553e-05, 4.493299999996925e-05], [6.317199999994472e-05, 4.529399999997352e-05], [6.197800000007359e-05, 4.620300000002242e-05], [6.195300000000348e-05, 4.524400000005535e-05], [6.200199999994993e-05, 4.467699999999297e-05], [6.379099999997973e-05, 4.5357999999939835e-05], [6.134699999993387e-05, 4.453300000006877e-05], [6.163199999997815e-05, 4.440500000002512e-05], [6.140899999995675e-05, 4.3848999999984706e-05], [6.142200000003317e-05, 4.4026999999946526e-05], [6.111100000005809e-05, 4.4339999999976065e-05], [6.186499999993877e-05, 4.482999999999571e-05], [6.094800000000511e-05, 4.4198999999967015e-05], [6.202200000005043e-05, 4.420999999998898e-05], [6.061299999993164e-05, 4.38100000000885e-05], [6.133099999994229e-05, 4.439600000005761e-05], [6.165899999999169e-05, 4.400100000001572e-05], [6.024700000006877e-05, 4.418999999999951e-05], [6.136700000003437e-05, 4.380000000003825e-05], [6.074600000005592e-05, 4.424699999994175e-05], [6.0340999999963785e-05, 4.4424000000042874e-05], [6.070199999996806e-05, 4.4196999999912556e-05], [6.053200000000203e-05, 4.406000000001242e-05], [6.079999999997199e-05, 4.402899999988996e-05], [6.11790000000223e-05, 4.4536000000094944e-05], [6.070400000002252e-05, 4.434799999986083e-05], [6.1015999999858295e-05, 4.4178000000005824e-05], [6.098300000001444e-05, 4.389300000018359e-05], [6.068300000006133e-05, 4.351400000013328e-05], [6.088700000006497e-05, 4.369599999987095e-05], [5.957899999997629e-05, 4.392799999997088e-05], [6.009399999995502e-05, 4.365899999991818e-05], [6.083699999992476e-05, 4.3854999999926036e-05], [6.008700000004197e-05, 4.354200000000752e-05], [6.072600000006645e-05, 4.3776000000050885e-05], [6.083499999998132e-05, 4.380000000003825e-05], [6.045300000012688e-05, 4.35579999999991e-05], [6.094499999997893e-05, 4.3571999999825195e-05], [6.051900000003663e-05, 4.356800000016037e-05], [6.166599999990474e-05, 4.775499999998267e-05], [6.358200000011749e-05, 4.5201999999910925e-05], [6.161499999990383e-05, 4.445500000005431e-05], [6.148800000005394e-05, 4.4480999999985116e-05], [6.0787000000006586e-05, 4.407200000011713e-05], [6.103700000004153e-05, 4.3902000000040076e-05], [6.09819999999317e-05, 4.3910000000035865e-05], [6.042300000008716e-05, 4.38990000000139e-05], [6.080600000002434e-05, 4.3522999999989764e-05], [6.0873999999877526e-05, 4.365200000000513e-05], [6.022199999988764e-05, 4.3331000000090825e-05], [6.127899999985864e-05, 4.364400000000934e-05], [6.0444999999909044e-05, 4.3271000000011384e-05], [6.012599999993817e-05, 4.334100000003005e-05], [5.991999999999109e-05, 4.344600000005805e-05], [5.9841999999976636e-05, 4.40040000000419e-05], [6.0409000000039015e-05, 4.369599999987095e-05], [6.056599999992862e-05, 4.365300000008787e-05], [6.112499999999521e-05, 4.4369999999904763e-05], [6.0291000000045614e-05, 4.4237000000002524e-05], [6.0541999999941254e-05, 4.381799999997327e-05], [6.0592999999942165e-05, 4.3690999999901337e-05], [6.090599999986068e-05, 4.370499999994948e-05], [6.069199999991781e-05, 4.393600000018871e-05], [6.166200000001787e-05, 4.374299999998499e-05], [6.223200000010642e-05, 4.473699999985037e-05], [6.343099999983615e-05, 4.467699999999297e-05], [6.199399999995414e-05, 4.444700000005852e-05], [6.173700000000615e-05, 4.473499999990693e-05], [6.110900000000363e-05, 4.410200000015685e-05], [6.183799999992523e-05, 4.469600000001073e-05], [6.172200000009731e-05, 4.425400000007684e-05], [6.171599999982291e-05, 4.427699999998147e-05], [6.106300000019438e-05, 4.43320000000913e-05], [6.170800000004917e-05, 4.4229000000006735e-05], [6.041099999998245e-05, 5.255299999995522e-05], [6.187799999990418e-05, 4.5320999999987066e-05], [6.12519999998451e-05, 4.4190999999971226e-05], [6.10869999999597e-05, 4.4482000000067856e-05], [6.053899999991508e-05, 4.4229000000006735e-05], [6.09689999999663e-05, 4.3782999999963934e-05], [6.419999999995873e-05, 5.123899999981418e-05], [6.146099999981836e-05, 4.352600000001594e-05], [6.1023999999854084e-05, 4.3785000000129415e-05], [6.088100000001262e-05, 4.339799999986127e-05], [6.1034000000015354e-05, 4.320800000012781e-05], [6.108099999990735e-05, 4.375599999995039e-05], [6.127000000000216e-05, 4.3648999999978955e-05], [6.125299999992784e-05, 4.399399999988063e-05], [6.04830000001666e-05, 4.3639999999900425e-05], [6.051200000012358e-05, 4.365300000008787e-05], [6.024699999995775e-05, 4.363700000009629e-05], [6.064199999999964e-05, 4.36889999999579e-05], [6.07719999998757e-05, 4.3957000000149904e-05], [6.008599999995923e-05, 4.349200000008935e-05], [6.058699999988981e-05, 4.3406000000079104e-05], [6.109700000012097e-05, 4.387000000005692e-05], [6.104699999998076e-05, 4.386899999997418e-05], [6.075500000002343e-05, 4.3714999999888704e-05], [6.030099999998484e-05, 4.354899999992057e-05], [6.048200000008386e-05, 4.325099999991089e-05], [6.126899999991942e-05, 4.383699999999102e-05]]"
0,[0. 0.],[[1.]],B,0,1.0,148,0.22684726741300115,0.20289836417821744,"[[6.982399999988509e-05, 0.00010329600000003047], [6.598699999993407e-05, 9.009900000012117e-05], [6.629200000007884e-05, 8.709000000006739e-05], [6.479400000003466e-05, 8.505999999997016e-05], [6.318499999991012e-05, 8.869200000005684e-05], [0.0001032399999998379, 9.273600000003768e-05], [6.445600000004603e-05, 8.565000000015921e-05], [6.390199999994906e-05, 8.511599999994068e-05], [7.50730000000921e-05, 8.920700000003556e-05], [6.367899999992765e-05, 8.60519999998921e-05], [6.342000000003623e-05, 8.500199999983415e-05], [6.373200000009405e-05, 8.495199999991598e-05], [6.335600000006991e-05, 8.530899999992236e-05], [6.262999999995245e-05, 8.467099999998062e-05], [6.290899999994437e-05, 8.485599999996651e-05], [6.271700000004543e-05, 0.0001321949999999461], [6.945600000007879e-05, 8.650399999998726e-05], [6.361099999985242e-05, 8.457100000014428e-05], [6.333700000005216e-05, 8.642999999985967e-05], [6.328199999994233e-05, 8.446799999983767e-05], [6.339599999982681e-05, 8.488699999986693e-05], [6.284800000000423e-05, 8.419500000012015e-05], [6.347600000000675e-05, 8.379599999996934e-05], [6.271899999998887e-05, 8.414599999984063e-05], [6.455000000005207e-05, 8.454900000010035e-05], [6.5057000000035e-05, 8.503100000001318e-05], [6.418399999996716e-05, 8.53300000001056e-05], [6.382299999985186e-05, 8.471599999992918e-05], [6.39879999999593e-05, 8.433500000015748e-05], [6.314299999998774e-05, 8.461699999995353e-05], [6.319599999993208e-05, 8.43790000000233e-05], [6.355299999993846e-05, 8.411600000002295e-05], [6.366500000010156e-05, 8.425900000008646e-05], [6.30749999999125e-05, 8.43450000000967e-05], [6.318400000004942e-05, 8.454399999990869e-05], [6.409799999995691e-05, 8.449500000007326e-05], [6.316200000000549e-05, 8.394299999991972e-05], [6.355800000013012e-05, 8.342599999999756e-05], [6.303499999993356e-05, 8.340399999995363e-05], [6.302000000002472e-05, 8.35839999999699e-05], [6.398199999990695e-05, 8.895800000008336e-05], [6.329900000001665e-05, 8.376600000015166e-05], [6.295600000005841e-05, 8.437700000007986e-05], [6.268000000009266e-05, 8.333000000004809e-05], [6.277600000004213e-05, 8.370499999998948e-05], [6.278699999984205e-05, 8.379599999996934e-05], [6.343099999983615e-05, 8.399699999994681e-05], [6.319899999995826e-05, 8.539000000018504e-05], [6.279399999997715e-05, 8.356100000006528e-05], [6.357599999984309e-05, 8.431399999997424e-05], [6.238299999994368e-05, 8.435599999989662e-05], [6.293700000004065e-05, 8.444400000007235e-05], [6.260599999996508e-05, 8.351699999997741e-05], [6.283099999992992e-05, 8.394099999997628e-05], [6.246200000004087e-05, 8.374699999991186e-05], [6.266699999990522e-05, 0.0001011669999999576], [6.422099999991993e-05, 8.549399999990825e-05], [6.282200000007343e-05, 8.374999999993804e-05], [6.259799999996929e-05, 8.42669999998602e-05], [6.309100000012613e-05, 8.40970000000052e-05], [6.246599999992775e-05, 8.405999999983038e-05], [6.234900000001709e-05, 8.437099999980546e-05], [6.31280000000789e-05, 8.376999999981649e-05], [6.27070000001062e-05, 8.406699999996547e-05], [6.273100000009357e-05, 8.332399999999573e-05], [6.265500000002255e-05, 8.817599999999537e-05], [8.236200000011351e-05, 0.00011509599999981468], [7.401799999984249e-05, 0.00014164999999999317], [7.67200000000301e-05, 9.262299999979184e-05], [6.428899999999516e-05, 8.632600000013646e-05], [6.375999999996829e-05, 8.543299999996812e-05], [6.349999999999412e-05, 8.45220000000868e-05], [6.400399999995088e-05, 8.462900000005824e-05], [6.338300000008346e-05, 8.46619999999021e-05], [6.24719999999801e-05, 8.40439999998388e-05], [6.396899999994154e-05, 8.465199999996287e-05], [6.295899999986254e-05, 8.420700000000281e-05], [6.26360000000048e-05, 8.47920000000002e-05], [6.255799999999034e-05, 8.567300000006384e-05], [6.37449999998374e-05, 8.557799999997506e-05], [6.308499999985173e-05, 8.469099999985907e-05], [6.241199999990066e-05, 8.461100000012323e-05], [6.324000000001995e-05, 8.52120000001122e-05], [6.311799999991763e-05, 8.460700000001431e-05], [6.270299999999729e-05, 8.453299999988673e-05], [6.254199999999877e-05, 8.38860000000885e-05], [6.316500000003167e-05, 8.45680000001181e-05], [6.719399999988163e-05, 8.487900000009319e-05], [6.470499999999824e-05, 8.461999999997971e-05], [6.554100000011331e-05, 8.513499999995844e-05], [7.280200000003845e-05, 8.716299999989019e-05], [6.404100000012569e-05, 8.345900000006345e-05], [6.265899999990943e-05, 8.378400000008668e-05], [6.297399999999342e-05, 8.319600000006311e-05], [6.311599999997419e-05, 8.473900000005585e-05], [6.323200000002416e-05, 8.382000000017875e-05], [6.310600000003497e-05, 8.400200000013847e-05], [6.3095000000013e-05, 8.348499999999426e-05], [6.296599999999763e-05, 8.399399999992063e-05], [6.299400000009392e-05, 8.357700000005686e-05], [6.28920000000921e-05, 8.367200000014563e-05], [6.262000000001322e-05, 8.280100000002122e-05], [6.21890000001013e-05, 8.385900000007496e-05], [6.26690000000707e-05, 8.349700000009896e-05], [6.301600000013785e-05, 8.451600000003445e-05], [6.258000000003427e-05, 8.437799999994056e-05], [6.289199999987005e-05, 8.330300000003454e-05], [6.281600000002108e-05, 8.43580000000621e-05], [6.178300000003745e-05, 8.436000000000554e-05], [6.177300000009822e-05, 8.412300000015804e-05], [6.273199999995427e-05, 8.401000000013426e-05], [6.307299999996907e-05, 8.391500000004548e-05], [6.185300000005611e-05, 8.385100000007917e-05], [6.247600000008902e-05, 8.497000000007304e-05], [6.258699999994732e-05, 8.401399999979908e-05], [6.237499999994789e-05, 8.9314000000007e-05], [6.301799999985924e-05, 8.437100000002751e-05], [6.26560000001053e-05, 8.424799999984245e-05], [6.24590000000147e-05, 8.377399999992541e-05], [6.273699999992388e-05, 8.361099999998345e-05], [6.23410000000213e-05, 8.39919999999772e-05], [6.206600000013829e-05, 8.404700000008702e-05], [6.238100000000024e-05, 8.316799999996682e-05], [6.295400000011497e-05, 8.398700000000758e-05], [6.268300000011884e-05, 8.418399999987614e-05], [6.338900000013581e-05, 8.422699999988126e-05], [6.251499999998522e-05, 8.391100000015861e-05], [6.298199999998921e-05, 8.492199999987626e-05], [6.328999999993812e-05, 8.367499999994976e-05], [6.242799999989224e-05, 8.38869999999492e-05], [6.292900000004487e-05, 8.324199999987236e-05], [6.252600000000719e-05, 8.314200000003602e-05], [6.240199999996143e-05, 8.352900000008212e-05], [6.28710000001309e-05, 8.394800000011138e-05], [6.2353000000126e-05, 8.322199999999391e-05], [6.299499999995462e-05, 8.434099999998779e-05], [6.283299999987335e-05, 8.389700000011047e-05], [6.223799999993673e-05, 8.368200000008486e-05], [6.262100000009596e-05, 8.425899999986441e-05], [6.265400000016186e-05, 8.35839999999699e-05], [6.178200000017675e-05, 8.381200000018296e-05], [6.66529999999721e-05, 8.86239999999816e-05], [6.324999999995917e-05, 8.431500000005698e-05], [6.306700000013876e-05, 8.384399999994407e-05], [6.332899999983432e-05, 8.360799999995727e-05], [6.313399999990921e-05, 8.316299999999721e-05], [6.270199999991455e-05, 8.342299999997138e-05], [6.2505000000046e-05, 8.306700000004774e-05]]"
