,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",robust,1000,0.001,7,0.0007350918906249997,1.5064628920992557e-19,"[[0.059178960999999974, 0.014500245000000023], [0.04954452300000001, 0.013364431000000065], [0.04894202999999986, 0.013385696000000058], [0.046410295000000046, 0.012932268999999996], [0.04598364899999985, 0.012832339000000026], [0.047446700999999925, 0.012486227999999988], [0.04593239900000001, 0.01242215499999988]]"
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",CS,1000,0.005,28,0.0012456839310967186,3.567432967269966e-18,"[[0.6639452339999998, 0.0002811020000001996], [0.651833398, 0.00020445700000015776], [0.6581634670000001, 0.00020049200000027412], [0.6575398180000005, 0.0002020149999992782], [0.6583512680000005, 0.00021986899999948406], [0.6624673730000001, 0.0002008639999999673], [0.6663638189999999, 0.00020361700000037786], [0.6623458849999997, 0.00020073100000050914], [0.6619032730000001, 0.0002090070000004829], [0.6627462340000001, 0.00020606300000025612], [0.664262441, 0.00021639300000053652], [0.6729388069999995, 0.00020013200000157383], [0.6655974620000009, 0.0001998990000000589], [0.6660789209999987, 0.0002032500000002102], [0.6598935279999996, 0.00020655700000027366], [0.6885333859999996, 0.0002078739999991086], [0.6648222780000008, 0.00020056800000034514], [0.6661534829999987, 0.00020272399999932134], [0.6635758169999999, 0.0002034930000007762], [0.6660548600000009, 0.00019851799999948128], [0.6641462130000004, 0.00020751500000137924], [0.6733109090000013, 0.00019901099999941607], [0.665636340999999, 0.00020336300000067808], [0.6726319260000011, 0.00021377899999919237], [0.6664632500000032, 0.00020975900000053116], [0.6648750390000018, 0.00020507500000022105], [0.6663649959999987, 0.00021662900000052332], [0.6624333260000022, 0.00020703199999871913]]"
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",B,1000,0.005,13,0.0025896360794705068,2.879659051616679e-16,"[[0.6653094240000001, 0.0005128059999996992], [0.6625290620000008, 0.0005121360000011066], [0.6656203269999992, 0.0005070019999990905], [0.6615684709999989, 0.0005116150000006314], [0.6603589410000019, 0.0005180749999986745], [0.6676295279999991, 0.000588344999997048], [0.662961475000003, 0.0004986570000014012], [0.663050602000002, 0.0005763549999997508], [0.667551177, 0.0005073590000002071], [0.6639449559999981, 0.0006325750000009123], [0.6723547019999998, 0.0005412629999987928], [0.6622345759999995, 0.0005158830000020487], [0.6682749659999985, 0.0005046140000004584]]"
