,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",robust,10000,0.001,8,0.0004782969,1.1431258465719314e-20,"[[0.537303114, 0.014606091000000099], [0.455253307, 0.013050307999999955], [0.44967543600000015, 0.012608092000000237], [0.44992653199999966, 0.01278250599999975], [0.4503547029999999, 0.012558863000000198], [0.4502211580000002, 0.012549112999999501], [0.4648906309999994, 0.013012644999999878], [0.47050920300000065, 0.012159791999999392]]"
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",CS,10000,0.005,14,0.0012441168422294736,3.540590211103632e-18,"[[6.059514289, 0.0003902299999989367], [6.087296632000001, 0.00021867700000299806], [6.017989854000003, 0.0002047839999974599], [6.063165407, 0.0002051410000021292], [6.08265304, 0.0002091859999993062], [6.274414159999999, 0.0002150000000042951], [6.069694050999999, 0.0002059179999989169], [6.069281983000003, 0.00020187399999826994], [6.042822480999995, 0.00020578699999873606], [6.037034382999998, 0.00020786899999336583], [6.072104660999997, 0.00020526699999834364], [6.068942157999999, 0.00021541300000649244], [6.0705127719999865, 0.00020636500001103286], [6.045636067000004, 0.0002534730000007812]]"
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",B,10000,0.005,7,0.0025882450110338456,2.8703903503577854e-16,"[[6.031680676999997, 0.0005160120000056168], [6.0902280899999965, 0.0004943980000007286], [6.070648414000004, 0.0005100340000012693], [6.073982622999992, 0.000555840000004082], [6.087874267000004, 0.0005030370000014273], [6.051415007000003, 0.0005032330000034335], [6.048383881999996, 0.0004990370000257371]]"
